Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: regular customers,3361031.00,3344330.07,3311212.48,3255414.96,3175847.32,3077777.70,2968598.19,2851561.19,2732844.14,2618828.19,2518733.07,2434436.23,2372037.73,2328139.21,2295705.67,2269621.64,2248885.25,2232547.69,2219927.34,2210428.39,2203594.58,2198338.33,2193774.63,2189857.70,2186538.26,2183769.31,2181518.39,2179764.20,2178470.86,2177553.08,2176721.30,2175909.62,2175082.47,2174236.56,2173367.44,2172470.71
2: regular customers,3361031.00,3262916.22,3146569.83,3013353.64,2878150.88,2748244.66,2624958.69,2511587.64,2414299.52,2341828.77,2291836.74,2255682.96,2227170.02,2205266.61,2188550.36,2176153.80,2167365.31,2161218.47,2156115.10,2151847.12,2148348.21,2145592.29,2143497.69,2142009.64,2141072.27,2140501.43,2140019.30,2139631.22,2139332.28,2139114.47,2138968.85,2138868.22,2138774.25,2138681.03,2138581.63,2138469.27
3: regular customers,3361031.00,3344330.07,3311212.48,3255414.96,3175847.32,3077775.46,2968557.38,2851438.45,2732628.69,2618522.25,2518348.31,2434006.61,2371608.58,2327725.16,2295268.11,2269167.43,2248420.00,2232077.03,2219457.65,2209965.48,2203143.88,2197859.55,2193270.25,2189330.40,2185990.84,2183204.62,2180939.31,2179173.67,2177871.91,2176936.61,2176076.83,2175238.39,2174385.88,2173516.19,2172624.97,2171707.86
4: regular customers,3361031.00,3262916.22,3146569.83,3013353.64,2878150.88,2748237.82,2624904.28,2511465.53,2414122.45,2341632.28,2291638.29,2255466.71,2226941.45,2205029.15,2188307.73,2175909.67,2167123.32,2160962.79,2155840.79,2151555.50,2148040.90,2145271.16,2143164.71,2141666.84,2140721.68,2140133.37,2139630.65,2139222.73,2138904.88,2138669.15,2138506.62,2138390.12,2138281.47,2138174.86,2138063.40,2137940.32
5: regular customers,3361031.00,3344330.07,3311212.48,3255407.66,3175409.70,3075901.00,2963992.27,2842653.30,2717710.93,2595717.68,2487682.96,2399137.74,2335936.17,2292123.45,2257754.99,2230774.80,2209910.03,2194227.64,2182930.15,2174165.35,2166443.11,2159799.49,2154172.45,2149502.51,2145722.00,2142702.71,2139943.25,2137363.60,2134967.71,2132751.89,2130709.34,2128816.34,2127040.45,2125379.94,2123829.79,2122384.41
6: regular customers,3361031.00,3262688.84,3145244.41,3009291.05,2869157.91,2731929.64,2599319.23,2476620.17,2373000.56,2299922.04,2250545.14,2212484.80,2183487.88,2162223.43,2147126.38,2136522.57,2127659.89,2120240.20,2114161.51,2109279.59,2105503.56,2102648.88,2100110.10,2097839.45,2095825.16,2094054.39,2092526.39,2091249.77,2090218.01,2089418.23,2088835.32,2088434.46,2088115.88,2087849.77,2087629.85,2087449.59
7: regular customers,3361031.00,3344330.07,3311212.48,3255407.66,3175409.70,3075889.77,2963787.39,2842034.79,2716615.64,2594166.96,2485715.89,2397093.91,2333951.47,2290129.28,2255665.41,2228630.38,2207750.79,2192100.06,2180874.28,2171947.26,2164078.94,2157308.09,2151574.20,2146818.99,2142975.36,2139830.48,2136886.98,2134131.38,2131570.35,2129201.72,2127019.62,2125001.52,2123116.72,2121365.03,2119742.56,2118244.45
8: regular customers,3361031.00,3262688.84,3145244.41,3009291.05,2869157.91,2731893.95,2599043.99,2476018.42,2372212.29,2299096.38,2249694.10,2211583.45,2182560.85,2161292.86,2146213.34,2135548.48,2126599.70,2119102.48,2112955.67,2108015.22,2104192.06,2101242.35,2098591.83,2096212.61,2094093.76,2092223.06,2090600.46,2089235.63,2088123.66,2087252.27,2086606.47,2086141.80,2085751.99,2085423.68,2085151.16,2084928.35
9: regular customers,3361031.00,3226700.62,3011578.04,2704392.60,2386038.70,2189860.57,2096324.74,2047505.85,2015984.61,1993657.34,1978017.90,1965296.06,1955136.43,1947431.09,1941787.24,1937835.09,1935168.02,1933630.07,1933096.26,1933428.59,1934527.63,1936319.16,1938686.60,1941551.13,1944838.41,1948481.09,1952430.21,1956651.19,1961097.58,1965557.39,1969867.40,1974007.40,1977945.75,1981683.01,1985218.82,1988552.86
10: regular customers,3361031.00,2838122.54,2373448.20,2142527.26,2053434.73,2009135.17,1979137.35,1958521.24,1942971.05,1930457.07,1920805.57,1913580.59,1908456.03,1905033.68,1903038.50,1902300.47,1902660.52,1903965.48,1906092.32,1908913.71,1912336.12,1916278.72,1920627.52,1925311.64,1930265.72,1935299.56,1940178.79,1944921.53,1949529.30,1954000.92,1958334.33,1962508.88,1966492.47,1970285.22,1973886.35,1977295.06
11: regular customers,3361031.00,3226700.62,3011578.04,2704392.60,2386038.42,2189837.44,2096284.93,2047461.95,2015931.86,1993597.11,1977944.00,1965204.33,1955025.35,1947300.61,1941638.62,1937667.54,1934983.00,1933430.79,1932886.14,1933211.05,1934306.17,1936097.02,1938466.66,1941335.90,1944630.00,1948281.20,1952240.15,1956471.90,1960929.68,1965382.69,1969686.53,1973820.98,1977754.35,1981487.18,1985019.11,1988349.75
12: regular customers,3361031.00,2838122.54,2373448.20,2142527.26,2053433.68,2009128.45,1979124.82,1958505.03,1942949.33,1930428.66,1920769.16,1913534.71,1908398.56,1904963.71,1902956.23,1902206.76,1902556.99,1903854.19,1905975.43,1908793.30,1912214.30,1916157.41,1920508.39,1925196.11,1930154.93,1935181.53,1940053.76,1944790.11,1949392.10,1953858.53,1958187.27,1962357.66,1966337.60,1970127.17,1973725.55,1977131.95
